STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
OKLAHOMA,PONCA CITY,42.8,0.18,0.0,35.0,5.0,0.0,9.8,39.1,11.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,OSAGE COUNTY,35.8,0.23,0.0,43.0,12.0,0.0,5.9,28.9,0.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,CUSHING,39.8,0.28,0.0,37.0,5.0,0.0,8.6,37.5,15.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,YALE-QUAY,33.4,0.33,0.0,52.0,20.0,0.0,4.0,24.8,29.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,JENNINGS,37.0,0.33,0.0,41.0,15.0,0.0,7.7,32.9,18.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,HOMINY,37.0,0.13,0.0,41.0,10.0,0.0,7.8,30.9,18.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,CLEVELAND,36.8,0.26,0.0,41.0,21.0,0.0,5.6,30.6,22.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PERSHING,35.8,0.17,0.0,44.0,28.0,0.0,3.9,26.4,20.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,35.8,0.19,0.0,0.0,15.0,0.0,5.9,28.1,20.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MADILL,52.5,0.06,0.0,30.0,5.0,0.0,9.1,85.5,0.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,ENOS,46.7,0.06,0.0,35.0,5.0,0.0,16.2,46.2,12.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,HEWITT,33.4,0.72,0.0,58.0,5.0,0.0,7.5,26.6,29.4,Liviano,Agrio (sour) ≥ 0.5%S
OKLAHOMA,HEALDTON,31.1,0.72,0.0,64.0,5.0,0.0,7.1,22.3,29.8,Mediano,Agrio (sour) ≥ 0.5%S
OKLAHOMA,CEMENT,34.6,0.19,0.0,55.0,5.0,0.0,1.4,20.2,22.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WALTERS,33.2,0.42,0.0,53.0,14.0,0.0,6.9,27.7,26.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,EMPIRE-COMANCHE,33.6,0.41,0.0,53.0,14.0,0.0,5.6,26.3,26.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"DUNCAN,N+W",35.4,0.4,0.0,46.0,10.0,0.0,7.4,31.4,19.6,Liviano,Dulce (sweet) < 0.5%S
TEXAS,BURKBURNETT,37.4,0.38,0.0,39.0,5.0,0.0,9.3,36.3,19.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BURBANK,37.6,0.17,0.0,0.0,0.0,0.0,8.0,29.8,24.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,KMA,37.8,0.33,0.0,40.0,5.0,0.0,8.9,35.1,16.2,Liviano,Dulce (sweet) < 0.5%S
TEXAS,KMA,34.2,0.72,0.0,44.0,25.0,0.0,7.5,31.2,24.4,Liviano,Agrio (sour) ≥ 0.5%S
